NPDES_ID,LIS_watershed
NY0026191,1
NY0026158,1
MA0101613,1
NY0026239,1
CT0003760,1
NY0026697,1
MA0101508,1
MA0101681,1
NY0026701,1
CT0100510,1
CT0101249,1
MA0101630,1
MA0100994,1
CT0101087,1
NY0026786,1
MA0100218,1
CT0101036,1
MA0101818,1
MA0101168,1
NY0026778,1
MA0100439,1
CT0100641,1
MA0101214,1
NY0026719,1
MA0100455,1
CT0003875,1
NY0026841,1
NY0022128,1
NHG580099,1
NH0001562,1
NY0026620,1
CT0003263,1
MA0101524,1
MA0100005,1
MA0000671,1
MA0101800,1
MA0101516,1
CT0100625,1
MA0100099,1
MA0100935,1
CT0100617,1
MA0101061,1
MA0100153,1
NH0100200,1
MA0100137,1
MA0110264,1
MA0101257,1
CT0025305,1
NY0206644,1
CT0100455,1
MA0100862,1
NY0021750,1
CT0101320,1
MA0100889,1
MA0101052,1
CT0100315,1
CT0003212,1
CT0100218,1
MA0003697,1
MA0103152,1
CT0100579,1
NH0100544,1
MA0101141,1
NH0100145,1
CT0100404,1
CT0000434,1
MA0101290,1
MA0100919,1
NH0100790,1
MA0100421,1
NY0109584,1
MA0100901,1
CT0101273,1
MA0101567,1
MA0001716,1
MA0101087,1
CT0100145,1
MA0102148,1
MA0001848,1
NHG580501,1
NY0024881,1
NH0100153,1
VT0100579,1
CT0101133,1
NH0100765,1
MA0101648,1
CT0000086,1
CT0100447,1
MA0101940,1
CT0101222,1
MA0100200,1
CT0100293,1
CT0100463,1
MA0110043,1
CT0100536,1
CT0101214,1
MA0102776,1
NH0100510,1
MA0100340,1
MA0101079,1
MA0100102,1
MA0101044,1
CT0026476,1
NHG580421,1
CT0100374,1
NH0101150,1
CT0100081,1
MA0005282,1
NH0101052,1
NH0101257,1
CT0003883,1
CT0002127,1
CT0003778,1
NH0101168,1
CT0003824,1
CT0101788,1
NY0105741,1
CT0100439,1
NHG580404,1
CT0101681,1
CT0001376,1
MA0101796,1
NH0101044,1
CT0100501,1
CT0100609,1
NY0020079,1
CT0101770,1
CT0000957,1
CT0001341,1
CT0090182,1
MA0103110,1
MA0100170,1
CT0100498,1
CT0100781,1
CT0101231,1
MA0102156,1
NY0066028,1
VT0100145,1
CT0003921,1
NH0100366,1
NY0005941,1
MA0102431,1
CT0101761,1
CT0001457,1
CT0100854,1
CT0021873,1
NY0088510,1
NY0005932,1
CT0020800,1
CT0101818,1
CT0028631,1
NY0030767,1
NHG581249,1
NH0000744,1
CT0024805,1
NH0100382,1
NY0005894,1
CT0100528,1
CT0003751,1
CT0003093,1
CT0101419,1
CT0021300,1
CT0026212,1
CT0003131,1
CT0000159,1
CT0101052,1
CT0003701,1
CT0001180,1
CT0003441,1
CT0000841,1
CT0025267,1
CT0026298,1
CT0003107,1
CT0003115,1
MA0027871,1
CT0000787,1
MAG450004,1
CT0020826,1
CT0020940,1
CT0021504,1
CT0026123,1
MA0040207,1
VT0100706,1
CT0003298,1
NHG580536,1
NYR00E884,1
NH0000621,1
MA0110035,1
NY0021822,1
NH0100307,1
NYR00D814,1
NHG580315,1
MA0029327,1
CT0001716,1
MA0110051,1
CT0003387,1
VT0101044,1
NHG581231,1
CT0030465,1
MA0100161,1
NY0165891,1
NHG581214,1
MA0032573,1
MA0005011,1
NY0021342,1
NY0026999,1
NYR00C613,1
NH0021423,1
NY0023311,1
CT0000744,1
CT0030279,1
CT0029629,1
MA0101478,1
CT0020389,1
NHG580226,1
CT0029530,1
NYR00E083,1
CT0001406,1
NH0001619,1
NY0098868,1
NYR00E127,1
MAG580001,1
VT0100633,1
CT0000850,1
CT0029327,1
NYR00F018,1
CT0101346,1
NH0021415,1
CT0030309,1
MA0000469,1
MA0005371,1
VT0101141,1
MAG580002,1
MAG580003,1
NH0023523,1
CT0020630,1
MA0001147,1
CT0030341,1
VT0101061,1
VT0100625,1
MA0001350,1
NY0274526,1
VT0100846,1
CT0030333,1
VT0100951,1
MA0040355,1
MA0040312,1
MA0100188,1
CT0030449,1
CT0030155,1
CT0026808,1
CT0002968,1
NY0260312,1
MAG580004,1
MAG580005,1
MA0001503,1
VT0000248,1
VT0101010,1
NHG580978,1
CT0003981,1
NHG581206,1
VT0000019,1
CT0100331,1
NHG580391,1
CT0030562,1
CT0027201,1
MA0040482,1
CT0026972,1
CT0030431,1
CT0101001,1
VT0000108,1
MA0000272,1
NYR00F294,1
CT0030473,1
CT0100935,1
VT0100862,1
VT0100978,1
VT0100048,1
VT0100854,1
VT0101109,1
VT0100765,1
CT0030635,1
VT0101214,1
CT0030678,1
VT0100374,1
VT0100757,1
CT0101010,1
VT0100081,1
VT0100731,1
MAR053312,1
NHR053131,1
NHR053169,1
MAR053752,1
MAR053769,1
MAR053421,1
NHR053148,1
MAR053406,1
MAR053558,1
MAR053646,1
MAR053881,1
MAR053340,1
MAR053431,1
MAR05J00X,1
NHR053153,1
MAR05J00A,1
CT0030601,1
MAR053637,1
MAR054027,1
MAR053979,1
MAR05J009,1
MAR053642,1
MAR05J027,1
MAR053587,1
MAR053644,1
MAR053544,1
MAR053502,1
MAR053716,1
NHR053350,1
MAR053413,1
MAR053641,1
MAR053188,1
MAR053636,1
MA0005339,1
MAR053158,1
MAR054041,1
NHR053034,1
NHR053111,1
MAR053229,1
MAR053525,1
MAR05J00W,1
NYR00F586,1
MAR053201,1
MAR053851,1
MAR053490,1
MAR053821,1
MAR05J00C,1
CT0100366,1
VT0100064,1
NH0100099,1
CT0100382,1
VT0100285,1
VT0100919,1
VT0100595,1
VT0100277,1
VT0100803,1
MA0101265,1
VT0100943,1
CT0100803,1
VT0100749,1
CTMIU0161,1
NYR00F825,1
NYR00F824,1
NYR00F751,1
VT0100013,1
CT0100552,1
CT0100544,1
CT0100960,1
CTMIU0196,1
CTMIU0195,1
VT0100447,1
CT0030597,1
NH0101392,1
VT0100609,1
CT0000892,1
MAG640022,1
NHG910071,1
MAG640046,1
NYR00G067,1
VT0000141,1
MAG640034,1
MAG910835,1
MAG640041,1
MAG640045,1
CTMIU0214,1
CTMIU0276,1
NH0023540,1
CT0101281,1
CT0100013 ,0
CT0100048,0
CT0100056,0
CT0101745,0
CT0100161,0
CT0101044,0
CT0100234,0
CTL100234,0
CT0101184,0
CTL101184,0
CTL100242,0
CTGSI2066,0
CT0024759,0
CTL101656,0
CT0101656,0
CTGSI2295,0
CTL101273,0
CT0100412,0
CTL100854,0
CT0100986,0
CT0100714,0
CT0100978,0
CT0101290,0
CT0101079,0
CT0100684,0
CTGSI1716,0
NY0189995,0
RIRND0004,0
RI0100064,0
RI0000043,0
CT0100269,0
CT0101257,0
CTGSI2181,0
CT0100072,0
CTL100226,0
CTL101150,0
CT0101591,0
CTL100161,0
CT0100749,0
CTL101036,0
CTL100579,0
CTL100625,0
CTL101249,0
CT0100307,0
CT0100480,0
CT0100200,0
CT0100196,0
CT0100994,0
CT0100293,0
CT0100919,0
CTL101079,0
CT0101061,0
CT0100391,0
NYS300014,0
NY0026212,0
NY0026204,0
NY0027073,0
