"","value"
"1","NY0026191"
"2","NY0026158"
"3","MA0101613"
"4","NY0026239"
"5","CT0003760"
"6","NY0026697"
"7","MA0101508"
"8","MA0101681"
"9","NY0026701"
"10","CT0100510"
"11","CT0101249"
"12","MA0101630"
"13","MA0100994"
"14","CT0101087"
"15","NY0026786"
"16","MA0100218"
"17","CT0101036"
"18","MA0101818"
"19","MA0101168"
"20","NY0026778"
"21","MA0100439"
"22","CT0100641"
"23","MA0101214"
"24","NY0026719"
"25","MA0100455"
"26","CT0003875"
"27","NY0026841"
"28","NY0022128"
"29","NHG580099"
"30","NH0001562"
"31","NY0026620"
"32","CT0003263"
"33","MA0101524"
"34","MA0100005"
"35","MA0000671"
"36","MA0101800"
"37","MA0101516"
"38","CT0100625"
"39","MA0100099"
"40","MA0100935"
"41","CT0100617"
"42","MA0101061"
"43","MA0100153"
"44","NH0100200"
"45","MA0100137"
"46","MA0110264"
"47","MA0101257"
"48","CT0025305"
"49","NY0206644"
"50","CT0100455"
"51","MA0100862"
"52","NY0021750"
"53","CT0101320"
"54","MA0100889"
"55","MA0101052"
"56","CT0100315"
"57","CT0003212"
"58","CT0100218"
"59","MA0003697"
"60","MA0103152"
"61","CT0100579"
"62","NH0100544"
"63","MA0101141"
"64","NH0100145"
"65","CT0100404"
"66","CT0000434"
"67","MA0101290"
"68","MA0100919"
"69","NH0100790"
"70","MA0100421"
"71","NY0109584"
"72","MA0100901"
"73","CT0101273"
"74","MA0101567"
"75","MA0001716"
"76","MA0101087"
"77","CT0100145"
"78","MA0102148"
"79","MA0001848"
"80","NHG580501"
"81","NY0024881"
"82","NH0100153"
"83","VT0100579"
"84","CT0101133"
"85","NH0100765"
"86","MA0101648"
"87","CT0000086"
"88","CT0100447"
"89","MA0101940"
"90","CT0101222"
"91","MA0100200"
"92","CT0100293"
"93","CT0100463"
"94","MA0110043"
"95","CT0100536"
"96","CT0101214"
"97","MA0102776"
"98","NH0100510"
"99","MA0100340"
"100","MA0101079"
"101","MA0100102"
"102","MA0101044"
"103","CT0026476"
"104","NHG580421"
"105","CT0100374"
"106","NH0101150"
"107","CT0100081"
"108","MA0005282"
"109","NH0101052"
"110","NH0101257"
"111","CT0003883"
"112","CT0002127"
"113","CT0003778"
"114","NH0101168"
"115","CT0003824"
"116","CT0101788"
"117","NY0105741"
"118","CT0100439"
"119","NHG580404"
"120","CT0101681"
"121","CT0001376"
"122","MA0101796"
"123","NH0101044"
"124","CT0100501"
"125","CT0100609"
"126","NY0020079"
"127","CT0101770"
"128","CT0000957"
"129","CT0001341"
"130","CT0090182"
"131","MA0103110"
"132","MA0100170"
"133","CT0100498"
"134","CT0100781"
"135","CT0101231"
"136","MA0102156"
"137","NY0066028"
"138","VT0100145"
"139","CT0003921"
"140","NH0100366"
"141","NY0005941"
"142","MA0102431"
"143","CT0101761"
"144","CT0001457"
"145","CT0100854"
"146","CT0021873"
"147","NY0088510"
"148","NY0005932"
"149","CT0020800"
"150","CT0101818"
"151","CT0028631"
"152","NY0030767"
"153","NHG581249"
"154","NH0000744"
"155","CT0024805"
"156","NH0100382"
"157","NY0005894"
"158","CT0100528"
"159","CT0003751"
"160","CT0003093"
"161","CT0101419"
"162","CT0021300"
"163","CT0026212"
"164","CT0003131"
"165","CT0000159"
"166","CT0101052"
"167","CT0003701"
"168","CT0001180"
"169","CT0003441"
"170","CT0000841"
"171","CT0025267"
"172","CT0026298"
"173","CT0003107"
"174","CT0003115"
"175","MA0027871"
"176","CT0000787"
"177","MAG450004"
"178","CT0020826"
"179","CT0020940"
"180","CT0021504"
"181","CT0026123"
"182","MA0040207"
"183","VT0100706"
"184","CT0003298"
"185","NHG580536"
"186","NYR00E884"
"187","NH0000621"
"188","MA0110035"
"189","NY0021822"
"190","NH0100307"
"191","NYR00D814"
"192","NHG580315"
"193","MA0029327"
"194","CT0001716"
"195","MA0110051"
"196","CT0003387"
"197","VT0101044"
"198","NHG581231"
"199","CT0030465"
"200","MA0100161"
"201","NY0165891"
"202","NHG581214"
"203","MA0032573"
"204","MA0005011"
"205","NY0021342"
"206","NY0026999"
"207","NYR00C613"
"208","NH0021423"
"209","NY0023311"
"210","CT0000744"
"211","CT0030279"
"212","CT0029629"
"213","MA0101478"
"214","CT0020389"
"215","NHG580226"
"216","CT0029530"
"217","NYR00E083"
"218","CT0001406"
"219","NH0001619"
"220","NY0098868"
"221","NYR00E127"
"222","MAG580001"
"223","VT0100633"
"224","CT0000850"
"225","CT0029327"
"226","NYR00F018"
"227","CT0101346"
"228","NH0021415"
"229","CT0030309"
"230","MA0000469"
"231","MA0005371"
"232","VT0101141"
"233","MAG580002"
"234","MAG580003"
"235","NH0023523"
"236","CT0020630"
"237","MA0001147"
"238","CT0030341"
"239","VT0101061"
"240","VT0100625"
"241","MA0001350"
"242","NY0274526"
"243","VT0100846"
"244","CT0030333"
"245","VT0100951"
"246","MA0040355"
"247","MA0040312"
"248","MA0100188"
"249","CT0030449"
"250","CT0030155"
"251","CT0026808"
"252","CT0002968"
"253","NY0260312"
"254","MAG580004"
"255","MAG580005"
"256","MA0001503"
"257","VT0000248"
"258","VT0101010"
"259","NHG580978"
"260","CT0003981"
"261","NHG581206"
"262","VT0000019"
"263","CT0100331"
"264","NHG580391"
"265","CT0030562"
"266","CT0027201"
"267","MA0040482"
"268","CT0026972"
"269","CT0030431"
"270","CT0101001"
"271","VT0000108"
"272","MA0000272"
"273","NYR00F294"
"274","CT0030473"
"275","CT0100935"
"276","VT0100862"
"277","VT0100978"
"278","VT0100048"
"279","VT0100854"
"280","VT0101109"
"281","VT0100765"
"282","CT0030635"
"283","VT0101214"
"284","CT0030678"
"285","VT0100374"
"286","VT0100757"
"287","CT0101010"
"288","VT0100081"
"289","VT0100731"
"290","MAR053312"
"291","NHR053131"
"292","NHR053169"
"293","MAR053752"
"294","MAR053769"
"295","MAR053421"
"296","NHR053148"
"297","MAR053406"
"298","MAR053558"
"299","MAR053646"
"300","MAR053881"
"301","MAR053340"
"302","MAR053431"
"303","MAR05J00X"
"304","NHR053153"
"305","MAR05J00A"
"306","CT0030601"
"307","MAR053637"
"308","MAR054027"
"309","MAR053979"
"310","MAR05J009"
"311","MAR053642"
"312","MAR05J027"
"313","MAR053587"
"314","MAR053644"
"315","MAR053544"
"316","MAR053502"
"317","MAR053716"
"318","NHR053350"
"319","MAR053413"
"320","MAR053641"
"321","MAR053188"
"322","MAR053636"
"323","MA0005339"
"324","MAR053158"
"325","MAR054041"
"326","NHR053034"
"327","NHR053111"
"328","MAR053229"
"329","MAR053525"
"330","MAR05J00W"
"331","NYR00F586"
"332","MAR053201"
"333","MAR053851"
"334","MAR053490"
"335","MAR053821"
"336","MAR05J00C"
"337","CT0100366"
"338","VT0100064"
"339","NH0100099"
"340","CT0100382"
"341","VT0100285"
"342","VT0100919"
"343","VT0100595"
"344","VT0100277"
"345","VT0100803"
"346","MA0101265"
"347","VT0100943"
"348","CT0100803"
"349","VT0100749"
"350","CTMIU0161"
"351","NYR00F825"
"352","NYR00F824"
"353","NYR00F751"
"354","VT0100013"
"355","CT0100552"
"356","CT0100544"
"357","CT0100960"
"358","CTMIU0196"
"359","CTMIU0195"
"360","VT0100447"
"361","CT0030597"
"362","NH0101392"
"363","VT0100609"
"364","CT0000892"
"365","MAG640022"
"366","NHG910071"
"367","MAG640046"
"368","NYR00G067"
"369","VT0000141"
"370","MAG640034"
"371","MAG910835"
"372","MAG640041"
"373","MAG640045"
"374","CTMIU0214"
"375","CTMIU0276"
"376","NH0023540"
"377","CT0101281"
